"p5.js 中的 'setup()' 函數何時執行?", "每次畫面刷新時", "僅在程式開始時執行一次", "當滑鼠點擊時", "當鍵盤按下時", 1
"哪個函數用來繪製一個矩形?", "ellipse()", "rect()", "line()", "triangle()", 1
"如何將畫布背景設定為全黑?", "background(255);", "background(100);", "background(0);", "background(-1);", 2
"哪個變數儲存滑鼠目前的 Y 座標?", "mouseX", "pmouseY", "mouseY", "mouseIsPressed", 2
"'loadTable()' 函數最適合在哪個 p5.js 函數中呼叫?", "draw()", "mousePressed()", "preload()", "setup()", 2
"如何設定繪製圖形的填滿顏色為紅色?", "fill(255, 0, 0);", "stroke(255, 0, 0);", "background(255, 0, 0);", "color(255, 0, 0);", 0
"哪個函數用來停止 draw() 持續執行?", "stop()", "noLoop()", "pause()", "frameRate(0)", 1
"如何設置每秒渲染的幀數為 30?", "frameRate(60);", "frameRate(30);", "frameLimit(30);", "setFPS(30);", 1
"要載入並顯示一張圖片，應先使用哪個函數載入檔案?", "createImage()", "loadImage()", "image()", "preloadImage()", 1
"如何在繪製時不填滿形狀，只畫邊框?", "noStroke()", "noFill()", "strokeWeight(0)", "fill(0,0)", 1
"哪個函數用於在座標系上平移原點?", "rotate()", "translate()", "push()", "scale()", 1
"使用 push() 和 pop() 的主要目的為何?", "提高效能", "保存並還原畫面狀態（例如變換與樣式）", "清除畫布", "開始新的畫布", 1
"random(10) 會回傳什麼範圍的數值?", "0 到 9", "0 到 10（包含 10）", "0 到 10（不包含 10）", "1 到 10", 2
"使用 rect(x, y, w, h) 時，預設的 x,y 是指?", "矩形中心", "矩形左上角", "矩形右下角", "矩形中心底部", 1
"哪個事件函數會在鍵盤按下時被呼叫?", "mousePressed()", "keyPressed()", "mouseClicked()", "keyTyped()", 1
"要設定線條寬度，應使用哪個函數?", "strokeWeight()", "lineWidth()", "strokeSize()", "setStroke()", 0
